ALIGN,A,L,I,G,N
SCISSORS,SC,I,SS,OR,S
CHOCOLATE,CH,O,C,OL,ATE
COMMUNICATION,CO,MM,UNI,CA,TION
GRAVITY,G,R,A,V,ITY
SPAGHETTI,SPA,G,HE,TT,I
DESCRIPTION,D,E,SCR,IP,TION
DEFINITELY,DE,FIN,I,T,ELY
BEAUTIFUL,BE,A,U,TI,FUL
GOOFY,G,O,O,F,Y
GRACIOUS,G,R,A,CI,OUS
BELIEVE,B,E,L,I,EVE
VORACIOUS,V,OR,A,CI,OUS
VELOCITY,V,EL,O,CI,TY
DOUGH,D,O,U,G,H
DELIVER,D,EL,I,V,ER
ENTIRE,E,N,T,I,RE
FLOWERS,F,L,OW,ER,S
HALVES,H,A,L,V,ES
IGLOO,I,G,L,O,O
JAGUAR,J,A,G,U,AR
KANGAROO,K,AN,GA,R,OO
KOALA,K,O,A,L,A
LEMUR,L,E,M,U,R
LIGHT,L,I,G,H,T
MONKEY,M,O,N,K,EY
MIRROR,M,I,RR,O,R
NIGHT,N,I,G,H,T
NEVER,N,E,V,E,R
KNIGHTS,KN,I,GH,T,S
OCTOPUS,O,C,T,O,PUS
OMINOUS,O,M,I,N,OUS
OCTAGON,O,C,T,A,GON
PENTAGON,P,EN,T,A,GON
PENGUINS,P,EN,G,UIN,S
QUILTS,QU,I,L,T,S
QUEENS,QU,E,E,N,S
QUIETER,QU,I,E,T,ER
QUIPPED,QU,I,P,P,ED
RAPID,R,A,P,I,D
RACCOON,R,A,CC,OO,N
SNAKE,S,N,A,K,E
SCIENCE,SC,I,E,N,CE
TURTLE,T,U,R,T,LE
RUTHLESS,R,U,TH,L,ESS
TRAGEDY,T,R,A,GE,DY
CATASTROPHIC,CAT,A,STRO,PH,IC
UMBRELLA,UM,BR,E,LL,A
UNDER,U,N,D,E,R
UMPIRE,UM,P,I,R,E
WHALE,W,H,A,L,E
WALRUS,W,A,L,R,US
EXAMINED,EX,A,M,IN,ED
EXTRA,E,X,T,R,A
XYLOPHONE,XY,LO,PH,O,NE
YELLOW,Y,E,L,L,OW
ZEBRA,Z,E,B,R,A
APPLE,A,P,P,L,E
CACTUS,C,A,C,T,US
UPDATE,U,P,D,A,TE
EVERYTHING,EV,ER,Y,TH,ING
HUMOROUS,H,U,M,OR,OUS
HILLARIOUS,HI,LL,AR,I,OUS
HYSTERICAL,HY,ST,ER,IC,AL
COINCIDENCE,CO,IN,CI,DEN,CE
DESTROYED,DE,ST,R,OY,ED
DEMOLISH,DE,M,OL,I,SH
DRIVE,D,R,I,V,E
DANGER,D,A,N,G,ER
CATAPULT,CA,TA,P,UL,T
CARAFES,C,AR,A,FE,S
GIRRAFES,GI,RR,A,FE,S
STAND,S,T,A,N,D
TALKING,T,A,L,K,ING
TRACKING,T,R,A,CK,ING
STALKS,S,T,AL,K,S
STOCKS,S,T,O,CK,S
STRANDED,ST,R,A,ND,ED
STAPLED,ST,A,P,L,ED
STACKED,S,T,A,CK,ED
INTENSIVE,IN,T,EN,S,IVE